benchmark,2x,4x_RS,HQ-2x,HQ-4x_RS,HQ-base,base,it
flores101_dataset - as,23.4,19.2,23.2,20.4,20.3,19.8,23.4
flores101_dataset - bn,31.3,27.8,31.1,28.6,29.0,28.8,31.8
flores101_dataset - gu,33.8,30.4,34.2,31.5,31.2,30.6,34.1
flores101_dataset - hi,36.4,34.1,36.5,35.1,34.3,34.1,37.5
flores101_dataset - kn,27.9,25.4,28.1,26.3,26.4,26.1,28.7
flores101_dataset - ml,30.1,26.7,30.6,28.0,28.7,28.2,31.4
flores101_dataset - mr,30.6,26.7,31.2,28.0,28.1,28.1,31.0
flores101_dataset - or,29.2,25.4,30.1,26.8,27.3,26.8,29.8
flores101_dataset - pa,34.5,31.2,34.3,32.1,31.5,31.2,35.8
flores101_dataset - ta,27.4,24.6,27.7,25.4,25.3,25.0,28.5
flores101_dataset - te,32.8,29.5,33.3,30.2,30.7,30.5,33.4
pmi - as,26.6,23.3,26.7,24.1,23.5,23.2,29.8
ufal-ta - ta,27.1,23.4,27.0,23.7,22.9,23.7,30.2
wat2020-devtest - bn,19.7,18.6,19.8,19.0,18.8,18.9,19.9
wat2020-devtest - gu,23.9,22.0,24.0,23.0,23.2,23.0,24.1
wat2020-devtest - hi,23.5,21.8,23.6,22.4,22.5,22.3,23.6
wat2020-devtest - ml,19.7,18.7,20.1,19.2,18.9,18.9,20.3
wat2020-devtest - mr,20.4,19.4,20.7,19.8,19.7,19.6,20.4
wat2020-devtest - ta,17.9,17.0,18.2,17.6,17.2,17.0,18.2
wat2020-devtest - te,18.0,17.0,18.5,17.5,17.6,17.3,18.5
wat2021-devtest - bn,28.3,26.6,28.0,26.7,25.8,26.2,29.5
wat2021-devtest - gu,39.1,37.4,39.3,37.8,37.3,37.1,40.2
wat2021-devtest - hi,42.5,41.4,42.5,41.1,40.6,40.9,43.9
wat2021-devtest - kn,35.0,33.2,35.5,34.0,32.9,32.8,36.4
wat2021-devtest - ml,33.5,31.6,33.9,32.3,31.2,31.0,34.7
wat2021-devtest - mr,32.4,31.2,32.5,31.5,30.0,30.2,33.5
wat2021-devtest - or,32.8,31.1,33.1,31.7,30.8,30.6,34.4
wat2021-devtest - pa,42.0,40.5,41.7,40.3,39.6,39.6,43.2
wat2021-devtest - ta,31.6,29.6,31.6,30.3,29.3,29.5,33.1
wat2021-devtest - te,35.1,33.1,35.3,33.4,32.4,32.5,36.2
wmt-news - gu,25.3,24.1,27.8,26.7,27.2,25.8,25.1
wmt-news - hi,29.2,26.9,29.3,27.6,27.6,27.0,29.7
wmt-news - ta,23.8,21.2,24.5,21.8,22.0,21.3,24.2
